location[0],location[1],state,age,now_phagocytose,max_phagocytose,CSF1R,trans,trans_num,rest_time,life_span,b_C,b_CI,b_G
50,47,M2,618.78,1,2,1,0,1,0,720,0.675,0.45,0.137904
50,65,M2,683.564,1,2,1,0,4,0,720,0.675,0.45,0.137904
50,71,M2,701.947,0,2,1,0,0,0,720,0.675,0.45,0.137904
48,61,M2,660.258,1,2,1,0,5,0,720,0.675,0.45,0.137904
15,85,M2,718.441,0,2,1,1,6,0,720,0.675,0.45,0.137904
34,57,M2,677.995,0,2,1,0,4,0,720,0.675,0.45,0.137904
72,53,M2,701.909,1,2,1,0,6,0,720,0.675,0.45,0.137904
64,39,M2,667.238,0,2,1,0,5,0,720,0.675,0.45,0.137904
40,71,M2,719.489,0,2,1,1,5,0,720,0.675,0.45,0.137904
60,41,M1,708.001,2,2,1,0,5,7,720,0.675,0.45,0.137904
50,73,M2,651,0,2,1,0,4,0,720,0.675,0.45,0.137904
3,14,M2,681.118,1,2,1,1,6,0,720,0.675,0.45,0.137904
56,61,M2,649.654,1,2,1,0,3,0,720,0.675,0.45,0.137904
51,59,M2,702.679,0,2,1,0,1,0,720,0.675,0.45,0.137904
38,35,M1,655.071,2,2,1,0,6,7.5,720,0.675,0.45,0.137904
59,68,M1,682.223,2,2,1,1,3,7.5,720,0.675,0.45,0.137904
33,49,M1,648.328,2,2,1,0,4,9.5,720,0.675,0.45,0.137904
62,42,M2,622.959,0,2,1,0,6,0,720,0.675,0.45,0.137904
32,42,M2,707.577,1,2,1,0,2,0,720,0.675,0.45,0.137904
39,35,M2,719.044,0,2,1,0,1,0,720,0.675,0.45,0.137904
37,74,M2,593.114,1,2,1,1,6,0,720,0.675,0.45,0.137904
53,55,M2,687.124,0,2,1,0,2,0,720,0.675,0.45,0.137904
52,71,M2,628.971,0,2,1,0,6,0,720,0.675,0.45,0.137904
52,54,M2,629.591,1,2,1,0,4,0,720,0.675,0.45,0.137904
26,47,M2,704.45,0,2,1,0,4,0,720,0.675,0.45,0.137904
94,85,M2,601.857,0,2,1,1,2,0,720,0.675,0.45,0.137904
35,42,M1,650.927,2,2,1,0,5,5.5,720,0.675,0.45,0.137904
11,76,M2,613.735,0,2,1,1,3,0,720,0.675,0.45,0.137904
39,72,M2,666.183,1,2,1,1,2,0,720,0.675,0.45,0.137904
54,73,M1,711.475,0,2,1,1,4,0,720,0.675,0.45,0.137904
39,40,M1,718.598,2,2,1,0,4,2,720,0.675,0.45,0.137904
42,72,M1,620.742,2,2,1,0,4,3.5,720,0.675,0.45,0.137904
38,42,M1,556.647,2,2,1,0,4,10,720,0.675,0.45,0.137904
64,89,M2,639.707,0,2,1,1,5,0,720,0.675,0.45,0.137904
61,67,M2,676.32,0,2,1,0,1,0,720,0.675,0.45,0.137904
36,61,M2,711.209,0,2,1,0,4,0,720,0.675,0.45,0.137904
36,39,M2,581.098,0,2,1,0,6,0,720,0.675,0.45,0.137904
54,58,M2,696.008,0,2,1,0,6,0,720,0.675,0.45,0.137904
33,35,M2,700.509,0,2,1,0,5,0,720,0.675,0.45,0.137904
83,19,M2,561.779,0,2,1,1,3,0,720,0.675,0.45,0.137904
60,68,M2,537.984,0,2,1,1,4,0,720,0.675,0.45,0.137904
69,62,M2,515.636,0,2,1,0,6,0,720,0.675,0.45,0.137904
40,69,M2,696.898,1,2,1,0,2,0,720,0.675,0.45,0.137904
39,70,M2,571.996,1,2,1,0,2,0,720,0.675,0.45,0.137904
31,61,M1,557.053,2,2,1,0,2,0.5,720,0.675,0.45,0.137904
51,34,M2,708.229,0,2,1,0,3,0,720,0.675,0.45,0.137904
54,61,M2,651.85,2,2,1,0,0,10,720,0.675,0.45,0.137904
82,30,M2,653.353,0,2,1,1,3,0,720,0.675,0.45,0.137904
38,52,M2,387.636,0,2,1,0,6,0,720,0.675,0.45,0.137904
27,38,M2,634.423,0,2,1,0,5,0,720,0.675,0.45,0.137904
55,38,M2,622.969,1,2,1,0,4,0,720,0.675,0.45,0.137904
59,63,M2,638.464,0,2,1,0,4,0,720,0.675,0.45,0.137904
61,65,M2,533.785,1,2,1,0,1,0,720,0.675,0.45,0.137904
60,66,M2,651.991,0,2,1,1,1,0,720,0.675,0.45,0.137904
58,34,M2,709.414,1,2,1,1,0,0,720,0.675,0.45,0.137904
32,57,M2,402.368,0,2,1,0,5,0,720,0.675,0.45,0.137904
14,7,M2,648.708,0,2,1,1,6,0,720,0.675,0.45,0.137904
41,39,M2,570.105,2,2,1,0,0,10,720,0.675,0.45,0.137904
54,57,M1,691.459,2,2,1,0,6,1.5,720,0.675,0.45,0.137904
69,65,M2,456.342,1,2,1,1,5,0,720,0.675,0.45,0.137904
61,60,M2,681.306,1,2,1,0,4,0,720,0.675,0.45,0.137904
57,66,M1,690.317,2,2,1,0,4,8,720,0.675,0.45,0.137904
68,62,M2,717.422,0,2,1,1,6,0,720,0.675,0.45,0.137904
49,55,M2,397.741,1,2,1,0,1,0,720,0.675,0.45,0.137904
42,27,M2,687.864,0,2,1,0,4,0,720,0.675,0.45,0.137904
53,56,M2,398.595,0,2,1,0,6,0,720,0.675,0.45,0.137904
60,38,M2,625.444,0,2,1,1,6,0,720,0.675,0.45,0.137904
56,52,M2,433.088,1,2,1,0,1,0,720,0.675,0.45,0.137904
33,15,M2,503.72,0,2,1,1,4,0,720,0.675,0.45,0.137904
41,28,M1,369.74,2,2,1,0,1,10.5,720,0.675,0.45,0.137904
70,85,M2,556.981,0,2,1,1,3,0,720,0.675,0.45,0.137904
14,29,M2,693.139,0,2,1,1,4,0,720,0.675,0.45,0.137904
64,66,M2,679.119,0,2,1,1,5,0,720,0.675,0.45,0.137904
31,56,M2,569.202,1,2,1,1,3,0,720,0.675,0.45,0.137904
37,64,M2,608.334,1,2,1,0,2,0,720,0.675,0.45,0.137904
65,49,M1,685.768,2,2,1,0,2,5,720,0.675,0.45,0.137904
47,66,M2,615.131,2,2,1,0,0,3.5,720,0.675,0.45,0.137904
89,19,M2,700.806,0,2,1,1,4,0,720,0.675,0.45,0.137904
64,40,M2,691.245,0,2,1,0,6,0,720,0.675,0.45,0.137904
66,40,M2,676.801,0,2,1,0,3,0,720,0.675,0.45,0.137904
45,78,M2,473.368,0,2,1,1,5,0,720,0.675,0.45,0.137904
55,53,M1,455.306,2,2,1,0,3,10.5,720,0.675,0.45,0.137904
70,39,M2,651.306,0,2,1,0,5,0,720,0.675,0.45,0.137904
64,57,M2,448.004,1,2,1,0,6,0,720,0.675,0.45,0.137904
33,58,M2,683.514,0,2,1,0,0,0,720,0.675,0.45,0.137904
64,55,M1,552.48,2,2,1,0,3,8.5,720,0.675,0.45,0.137904
96,65,M2,506.283,0,2,1,1,4,0,720,0.675,0.45,0.137904
58,10,M2,587.249,0,2,1,1,0,0,720,0.675,0.45,0.137904
35,58,M2,538.829,0,2,1,0,4,0,720,0.675,0.45,0.137904
33,64,M2,687.36,1,2,1,0,1,0,720,0.675,0.45,0.137904
31,55,M2,616.543,0,2,1,1,3,0,720,0.675,0.45,0.137904
56,35,M2,581.529,0,2,1,0,0,0,720,0.675,0.45,0.137904
32,65,M2,467.878,1,2,1,0,0,0,720,0.675,0.45,0.137904
1,10,M2,616.533,0,2,1,1,6,0,720,0.675,0.45,0.137904
33,62,M2,661.609,0,2,1,0,4,0,720,0.675,0.45,0.137904
58,37,M2,505.234,0,2,1,1,3,0,720,0.675,0.45,0.137904
62,44,M1,522.316,2,2,1,0,5,10.5,720,0.675,0.45,0.137904
52,58,M2,714.045,1,2,1,0,3,0,720,0.675,0.45,0.137904
31,47,M2,468.613,0,2,1,0,4,0,720,0.675,0.45,0.137904
73,66,M2,652.152,0,2,1,1,3,0,720,0.675,0.45,0.137904
33,48,M2,487.772,0,2,1,0,4,0,720,0.675,0.45,0.137904
96,84,M2,429.58,0,2,1,1,0,0,720,0.675,0.45,0.137904
52,56,M1,486.775,2,2,1,0,3,11,720,0.675,0.45,0.137904
24,17,M2,503.135,1,2,1,1,6,0,720,0.675,0.45,0.137904
36,55,M2,388.993,0,2,1,0,0,0,720,0.675,0.45,0.137904
34,48,M2,421.647,1,2,1,0,4,0,720,0.675,0.45,0.137904
63,72,M2,446.633,0,2,1,1,3,0,720,0.675,0.45,0.137904
26,69,M2,464.83,1,2,1,0,0,0,720,0.675,0.45,0.137904
78,82,M2,440.253,0,2,1,1,5,0,720,0.675,0.45,0.137904
54,41,M2,642.667,1,2,1,0,6,0,720,0.675,0.45,0.137904
93,42,M2,444.187,0,2,1,1,0,0,720,0.675,0.45,0.137904
38,27,M1,601.557,2,2,1,0,6,9,720,0.675,0.45,0.137904
83,20,M2,676.646,0,2,1,1,4,0,720,0.675,0.45,0.137904
21,90,M2,421.358,0,2,1,1,2,0,720,0.675,0.45,0.137904
70,52,M2,468.623,1,2,1,0,1,0,720,0.675,0.45,0.137904
41,73,M2,513.732,0,2,1,0,4,0,720,0.675,0.45,0.137904
40,36,M2,574.115,0,2,1,1,2,0,720,0.675,0.45,0.137904
62,41,M2,508.151,0,2,1,0,1,0,720,0.675,0.45,0.137904
44,75,M2,403.01,1,2,1,0,1,0,720,0.675,0.45,0.137904
65,69,M2,426.636,0,2,1,1,0,0,720,0.675,0.45,0.137904
81,30,M1,664.804,0,2,1,1,0,0,720,0.675,0.45,0.137904
86,64,M2,448.915,0,2,1,1,1,0,720,0.675,0.45,0.137904
46,95,M2,427.893,0,2,1,1,4,0,720,0.675,0.45,0.137904
76,45,M2,458.209,1,2,1,0,0,0,720,0.675,0.45,0.137904
61,73,M2,683.982,0,2,1,1,6,0,720,0.675,0.45,0.137904
33,63,M2,385.309,1,2,1,0,0,0,720,0.675,0.45,0.137904
75,54,M2,473.595,0,2,1,1,3,0,720,0.675,0.45,0.137904
82,94,M2,697.717,0,2,1,1,1,0,720,0.675,0.45,0.137904
78,65,M2,688.913,0,2,1,1,2,0,720,0.675,0.45,0.137904
62,48,M2,481.276,1,2,1,0,1,0,720,0.675,0.45,0.137904
34,63,M2,577.752,1,2,1,0,6,0,720,0.675,0.45,0.137904
64,58,M2,369.805,1,2,1,0,3,0,720,0.675,0.45,0.137904
74,64,M2,596.649,0,2,1,1,2,0,720,0.675,0.45,0.137904
65,75,M2,438.718,0,2,1,1,2,0,720,0.675,0.45,0.137904
33,87,M1,453.688,0,2,1,1,5,0,720,0.675,0.45,0.137904
94,10,M2,528.006,0,2,1,1,3,0,720,0.675,0.45,0.137904
11,95,M2,348.989,0,2,1,1,4,0,720,0.675,0.45,0.137904
64,68,M2,684.202,0,2,1,1,5,0,720,0.675,0.45,0.137904
61,38,M2,490.09,1,2,1,0,4,0,720,0.675,0.45,0.137904
16,6,M2,718.656,0,2,1,1,1,0,720,0.675,0.45,0.137904
8,92,M2,511.815,0,2,1,1,2,0,720,0.675,0.45,0.137904
62,11,M2,608.98,0,2,1,1,4,0,720,0.675,0.45,0.137904
57,88,M2,385.233,0,2,1,1,6,0,720,0.675,0.45,0.137904
87,25,M2,583.333,0,2,1,1,5,0,720,0.675,0.45,0.137904
31,53,M2,412.465,1,2,1,0,5,0,720,0.675,0.45,0.137904
96,71,M2,512.318,0,2,1,1,5,0,720,0.675,0.45,0.137904
60,62,M2,497.431,1,2,1,0,4,0,720,0.675,0.45,0.137904
61,62,M2,489.423,0,2,1,0,1,0,720,0.675,0.45,0.137904
34,74,M2,704.528,0,2,1,1,4,0,720,0.675,0.45,0.137904
45,76,M2,343.95,0,2,1,0,5,0,720,0.675,0.45,0.137904
37,36,M2,317.362,0,2,1,1,0,0,720,0.675,0.45,0.137904
28,40,M1,607.11,2,2,1,0,5,1.5,720,0.675,0.45,0.137904
75,51,M2,629.987,0,2,1,0,3,0,720,0.675,0.45,0.137904
39,32,M2,394.473,0,2,1,0,5,0,720,0.675,0.45,0.137904
38,72,M2,507.666,0,2,1,0,5,0,720,0.675,0.45,0.137904
81,11,M2,369.027,0,2,1,1,1,0,720,0.675,0.45,0.137904
60,64,M2,692.853,0,2,1,0,0,0,720,0.675,0.45,0.137904
79,60,M2,376.098,0,2,1,1,1,0,720,0.675,0.45,0.137904
47,67,M1,445.345,2,2,1,0,2,7,720,0.675,0.45,0.137904
93,11,M2,336.605,0,2,1,1,3,0,720,0.675,0.45,0.137904
33,40,M1,536.134,2,2,1,0,6,5,720,0.675,0.45,0.137904
39,74,M2,564.856,0,2,1,1,6,0,720,0.675,0.45,0.137904
73,59,M2,620.426,1,2,1,0,5,0,720,0.675,0.45,0.137904
9,3,M2,692.461,0,2,1,1,1,0,720,0.675,0.45,0.137904
57,72,M2,345.79,0,2,1,0,2,0,720,0.675,0.45,0.137904
11,32,M2,677.839,0,2,1,1,1,0,720,0.675,0.45,0.137904
34,54,M1,442.886,2,2,1,0,2,2.5,720,0.675,0.45,0.137904
20,10,M2,670.39,0,2,1,1,4,0,720,0.675,0.45,0.137904
13,18,M2,356.118,0,2,1,1,2,0,720,0.675,0.45,0.137904
38,85,M2,377.798,0,2,1,1,3,0,720,0.675,0.45,0.137904
36,33,M2,491.364,0,2,1,0,0,0,720,0.675,0.45,0.137904
90,15,M2,579.777,0,2,1,1,2,0,720,0.675,0.45,0.137904
32,72,M2,374.819,1,2,1,0,4,0,720,0.675,0.45,0.137904
33,66,M2,326.854,0,2,1,0,6,0,720,0.675,0.45,0.137904
82,85,M2,332.298,0,2,1,1,3,0,720,0.675,0.45,0.137904
34,72,M2,407.464,0,2,1,0,6,0,720,0.675,0.45,0.137904
74,59,M1,608.798,0,2,1,1,1,0,720,0.675,0.45,0.137904
73,21,M2,417.417,0,2,1,1,1,0,720,0.675,0.45,0.137904
33,54,M2,395.593,0,2,1,0,6,0,720,0.675,0.45,0.137904
72,51,M2,579.296,0,2,1,0,5,0,720,0.675,0.45,0.137904
97,94,M2,669.687,0,2,1,1,1,0,720,0.675,0.45,0.137904
31,70,M2,631.804,0,2,1,0,0,0,720,0.675,0.45,0.137904
34,52,M2,487.63,0,2,1,0,2,0,720,0.675,0.45,0.137904
45,80,M2,393.292,1,2,1,1,1,0,720,0.675,0.45,0.137904
6,20,M2,542.118,0,2,1,1,6,0,720,0.675,0.45,0.137904
44,27,M2,305.839,0,2,1,1,4,0,720,0.675,0.45,0.137904
26,6,M1,391.906,0,2,1,1,5,0,720,0.675,0.45,0.137904
56,37,M1,455.617,2,2,1,0,2,7,720,0.675,0.45,0.137904
45,26,M2,290.713,0,2,1,0,3,0,720,0.675,0.45,0.137904
33,56,M2,451.359,0,2,1,0,3,0,720,0.675,0.45,0.137904
38,8,M2,414.138,0,2,1,1,3,0,720,0.675,0.45,0.137904
30,43,M1,430.94,2,2,1,0,2,6,720,0.675,0.45,0.137904
39,34,M1,279.227,2,2,1,0,4,5.5,720,0.675,0.45,0.137904
13,1,M2,623.256,0,2,1,1,2,0,720,0.675,0.45,0.137904
4,25,M2,594.108,0,2,1,1,6,0,720,0.675,0.45,0.137904
34,58,M1,439.3,2,2,1,0,4,7,720,0.675,0.45,0.137904
73,40,M2,268.956,0,2,1,0,4,0,720,0.675,0.45,0.137904
53,72,M1,253.422,2,2,1,0,5,9.5,720,0.675,0.45,0.137904
60,8,M2,425.439,0,2,1,1,2,0,720,0.675,0.45,0.137904
70,55,M2,267.926,1,2,1,0,0,0,720,0.675,0.45,0.137904
22,22,M2,312.637,0,2,1,1,5,0,720,0.675,0.45,0.137904
25,50,M2,275.419,0,2,1,1,6,0,720,0.675,0.45,0.137904
70,30,M2,654.939,0,2,1,1,6,0,720,0.675,0.45,0.137904
35,35,M2,409.414,0,2,1,0,1,0,720,0.675,0.45,0.137904
11,14,M2,545.925,0,2,1,1,4,0,720,0.675,0.45,0.137904
60,21,M2,718.764,0,2,1,1,2,0,720,0.675,0.45,0.137904
73,17,M2,354.496,0,2,1,1,6,0,720,0.675,0.45,0.137904
22,41,M2,536.499,0,2,1,1,2,0,720,0.675,0.45,0.137904
12,40,M2,709.381,0,2,1,1,2,0,720,0.675,0.45,0.137904
27,93,M2,669.789,0,2,1,1,5,0,720,0.675,0.45,0.137904
32,47,M1,398.085,0,2,1,0,0,0,720,0.675,0.45,0.137904
37,27,M1,418.059,2,2,1,1,5,4,720,0.675,0.45,0.137904
34,73,M2,668.338,0,2,1,1,1,0,720,0.675,0.45,0.137904
63,37,M2,236.265,0,2,1,1,5,0,720,0.675,0.45,0.137904
70,63,M2,577.804,1,2,1,0,2,0,720,0.675,0.45,0.137904
13,6,M2,507.384,0,2,1,1,2,0,720,0.675,0.45,0.137904
36,96,M2,517.017,0,2,1,1,6,0,720,0.675,0.45,0.137904
45,75,M2,305.726,0,2,1,0,2,0,720,0.675,0.45,0.137904
41,71,M2,457.303,0,2,1,0,6,0,720,0.675,0.45,0.137904
43,29,M2,636.087,1,2,1,0,2,0,720,0.675,0.45,0.137904
